Team,Winpct,X3Ppct,X2Ppct,FT,ASTpTO,OppASTpTO,ASTRatio,OppASTRatio,STLpct,OppSTLpct,BLKpct,OppBLKpct,TORatio,OppTORatio,PFDRate,OppPFDRate,FTARate,X3PARate,TOVpct,ORBpct,FtpFGA,OppTOVpct,DREBpct,OppFTpFGA,Opp3Ppct,Opp2Ppct
Atlanta Hawks*,0.463,0.363,0.502,1392,1.717,1.594,26.22,24.38,8.74,8.62,4.19,4.54,15.27,15.3,20.26,21.07,0.266,0.316,14.3,21,0.208,14,74.4,0.196,0.365,0.497
Boston Celtics,0.305,0.333,0.47,1325,1.46,1.613,22.71,22.77,9.34,8.04,4.12,4.45,15.16,16.31,23.54,22.52,0.248,0.251,14.2,27.4,0.193,13.4,74.2,0.227,0.347,0.5
Brooklyn Nets*,0.537,0.369,0.497,1508,1.498,1.396,22.52,23.71,7.62,7.97,4.48,4.88,15.42,14.7,22.74,20.46,0.313,0.301,14.1,21.7,0.236,14.9,72.3,0.236,0.367,0.492
Charlotte Bobcats*,0.524,0.351,0.468,1474,1.864,1.641,23.39,22.57,6.57,6.75,5.54,5.45,12.55,13.75,19.64,22.54,0.297,0.219,11.7,21.9,0.219,12.6,77.6,0.183,0.369,0.468
Chicago Bulls*,0.585,0.348,0.456,1486,1.62,1.426,25.02,21.53,7.99,8.34,5.7,6.58,15.44,15.1,21.05,23,0.29,0.222,14.2,27.2,0.226,13.7,75.4,0.189,0.351,0.454
Cleveland Cavaliers,0.402,0.356,0.461,1398,1.573,1.86,22.62,26.5,7.53,7.64,3.96,6,14.38,14.25,21.34,20.8,0.268,0.236,13,27.2,0.201,13,75.8,0.199,0.367,0.49
Dallas Mavericks*,0.598,0.384,0.508,1378,1.788,1.436,24.98,23.35,9.09,8.2,4.6,3.72,13.97,16.26,21.12,21.09,0.253,0.274,12.7,24.6,0.201,14.8,72.7,0.229,0.359,0.505
Denver Nuggets,0.439,0.358,0.481,1563,1.459,1.614,22.84,22.91,7.64,8.63,5.7,5.71,15.66,14.2,23.48,22.11,0.306,0.278,14,27.5,0.222,12.8,74.5,0.233,0.351,0.491
Detroit Pistons,0.354,0.321,0.483,1415,1.5,1.69,22.04,25.73,8.83,8.62,5.08,5.18,14.7,15.23,21.42,21.85,0.296,0.222,12.9,31.4,0.199,13.8,73.4,0.218,0.365,0.51
Golden State Warriors*,0.622,0.38,0.496,1303,1.561,1.42,24.08,21.22,8.09,8.18,5.13,4.31,15.43,14.94,22.47,19.97,0.247,0.291,13.8,25.1,0.186,13.6,76.3,0.224,0.344,0.465
